0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68
1 0 28.22028799 16.37982214 28.46418132 35.99598644 17.98924094 53.82922426 15.18465122 34.24229566 8.396336429 26.75780425 27.78742178 17.83688054 41.76070841 8.172765303 7.832326323 9.333625908 32.03711401 45.53031646 42.93922322 40.36615868 33.00078187 17.79854807 26.87502264 6.073261496 16.96154863 16.15472518 6.959114219 46.61478196 17.05844856 19.56888461 15.51505317 11.53598314 14.90530512 17.82119745 7.77470058 9.678862874 11.72829287 59.72758455 2.916300312 13.82069902 19.81073212 21.65919029 3.435894564 39.10078402 8.032600044 19.62587203 27.0872668 15.55084906 23.06453588 28.96761165 28.19718645 23.64899299 20.32371767 16.99453235 10.14074434 29.65433982 13.28235887 12.10183865 11.0724859 3.051828072 41.72161208 38.04267451 19.55393013 45.14300025 18.93533511 22.39094071 41.12658679
2 28.22028799 0 44.03162958 55.91760217 63.36358452 6.477074465 87.87722232 36.83579009 61.59387142 33.104161 53.69031078 54.72458348 22.4215262 68.75000014 25.3795599 27.17406122 22.75975287 59.56357508 72.50691797 69.91781541 67.33706234 60.40466939 42.51671826 0.9867761191 36.80814492 21.31246524 21.98265696 24.86393234 73.92916867 40.06064727 24.57256162 21.13903811 27.34960809 26.2466838 30.36593677 34.22867892 26.44874369 29.04069093 84.24913314 29.55479257 29.3801395 18.68206855 49.12170282 32.49375972 66.51643326 38.257836 47.42168583 54.08190709 16.82142813 11.68988811 3.303925307 3.808899221 8.803423111 15.51779187 24.8154262 33.76118339 56.60862079 31.99556419 30.97548352 38.48378161 30.81329061 68.7013527 65.04582273 18.01660777 72.11645819 18.35889675 46.05525525 68.13295431
3 16.37982214 44.03162958 0 20.0132081 27.62117934 33.80256817 74.2033239 33.19161108 25.91037527 27.39692261 19.61008653 20.63408111 33.39641199 34.46844487 24.70784568 23.68438874 24.60153863 23.52538258 38.28173229 35.68369753 33.13727308 24.61486737 36.37937343 42.68585972 16.08480016 32.48352594 32.32577744 22.9846358 38.4059563 35.26531538 35.51880333 31.14827838 25.95189013 30.07145001 32.70511945 27.73978331 25.17853382 25.75499866 78.16654074 22.95705554 29.782816 35.51434757 8.032486391 21.80446257 30.70164843 24.02502606 11.53080961 19.47008823 31.60509888 38.88166363 44.77993255 44.00897933 39.46364021 36.16509417 32.28638499 28.89885617 22.43177219 27.62783828 25.24205937 30.78193703 23.25443702 34.46111638 30.6930992 35.32594835 37.90529668 34.80459574 40.69693596 33.77509615
4 28.46418132 55.91760217 20.0132081 0 13.05286229 45.68859909 86.20809245 45.14882874 11.71609378 39.3668699 20.85164485 21.61603243 45.27437848 33.48077013 36.61487705 35.57820398 36.47106671 3.426304803 37.60683233 34.96160408 32.5991382 2.69780179 48.35452998 54.57181634 28.45963834 44.36025467 44.22306174 34.87902215 24.15608191 47.23072822 47.40914313 43.02864132 37.79594129 41.93707251 44.56120247 39.71310198 37.0580828 37.59195384 90.14118899 34.93328234 41.67408579 47.39690019 23.44897447 33.8167044 6.493467489 36.11025642 27.35452647 22.78813282 43.49869993 50.76781949 56.66593618 55.89496617 51.34971749 48.05201732 44.155553 40.86068562 23.18347735 39.48352944 37.06281656 42.76974347 35.24082016 33.7292401 29.54920334 47.21067688 37.30671634 46.69240145 52.66641217 32.37884859
5 35.99598644 63.36358452 27.62117934 13.05286229 0 53.13460781 93.77625774 52.63236962 12.65551536 46.85354758 26.62479492 27.35547146 52.71673233 39.00363681 44.06868868 43.02377076 43.90904158 22.00575855 43.16389466 40.51340825 38.17120845 16.03133286 55.84974718 62.01779141 36.01254456 51.80208571 51.67424316 42.32623782 31.23789058 54.7200511 54.85703477 50.47201179 45.22268671 49.37382934 51.9939976 47.19797255 44.49914466 45.01428916 97.63801898 42.42025992 49.12104625 54.84133191 30.87978499 41.30159124 23.11648954 43.61132127 34.94701232 28.91018796 50.9481804 58.21388506 64.11193261 63.34095506 58.79574742 55.49842976 51.59411417 48.34244066 28.8893796 46.91156154 44.47528333 50.26722258 42.73430599 39.27886927 35.03974521 54.65608481 42.8722181 54.13920381 60.15888252 37.85605228
6 17.98924094 6.477074465 33.80256817 45.68859909 53.13460781 0 77.64594379 26.59872202 51.36489966 22.8704588 43.46146908 44.49574034 12.18940909 58.52114081 15.14857192 16.94574735 12.5353609 49.33454949 62.27806261 59.68895942 57.10820876 50.1756815 32.28217993 5.465809259 26.57846004 11.07874542 11.67382225 14.63504618 63.70020839 29.82472095 14.32368332 10.91154249 17.12439194 16.0236191 20.14265385 23.99653661 16.22157799 18.81465127 74.01425746 19.3223027 19.15161039 8.357025814 38.8926972 22.26354499 56.28744175 28.02776422 37.19258409 43.85304557 6.127750899 3.474694975 6.031379641 6.196514226 2.973283497 5.246962752 14.59117776 23.52720153 46.37977228 21.76844824 20.74882082 28.25118387 20.58099713 58.47249636 54.81695906 7.706797342 61.88760381 8.102988492 35.81981287 57.90408964
7 53.82922426 87.87722232 74.2033239 86.20809245 93.77625774 77.64594379 0 73.10005022 92.02842096 67.89627009 84.70032505 85.7275022 77.52070344 99.6794213 68.23371964 68.02611333 69.11379696 89.75063906 103.4534417 100.8616621 98.29125968 90.76494311 74.62737208 86.53201391 65.9263304 76.64306939 75.76074994 67.05002308 104.4136778 74.23585655 79.22829598 75.20364052 71.23115676 74.61870749 77.51132737 69.14352078 69.62193337 71.4019357 115.6831229 64.07673023 73.75295783 79.47921258 79.51302062 65.46799027 96.86008191 68.97230172 77.58680177 85.02320053 75.17421935 82.72084204 88.62443538 87.85406998 83.30555963 79.9777199 76.67763161 69.98698696 87.58897928 73.08361602 71.66043846 70.14668948 63.63693366 99.64372149 95.95720777 79.21716921 103.067216 78.58871824 79.09293029 99.03940951
8 15.18465122 36.83579009 33.19161108 45.14882874 52.63236962 26.59872202 73.10005022 0 50.86961906 15.89109349 43.14997444 44.18213759 27.05406361 58.1844068 18.2949741 19.716564 19.6430344 48.76286225 61.94690714 59.35692885 56.77955941 49.65747644 18.50832051 35.49176372 25.20766489 26.2239462 23.79896337 17.95551208 63.22103272 9.966827296 27.97224889 24.64478153 22.62229861 24.95122434 28.15339525 20.93664316 20.64995783 23.27856069 58.35892662 15.39038393 24.01879757 28.68547435 38.3584369 20.97325772 55.76409162 26.42292755 36.53807733 43.51517294 23.51027368 31.66599273 37.58070631 36.81158029 32.25640617 28.86849033 26.63878949 17.97011244 46.05866271 25.20571777 24.26400904 22.28257412 15.9532284 58.13996512 54.47417481 28.27900153 61.55783066 27.42947578 18.08067706 57.55985456
9 34.24229566 61.59387142 25.91037527 11.71609378 12.65551536 51.36489966 92.02842096 50.86961906 0 45.09142114 24.3823061 25.08793183 50.94633758 36.52430228 42.30047197 41.25404507 42.13783401 20.57938898 40.71446298 38.05960766 35.73456067 13.79843488 54.08912973 60.24807695 34.26417102 50.03159243 49.90550491 40.55679776 27.32900496 52.95835273 53.08768126 48.70180939 43.44936552 47.60238378 50.22180005 45.43555602 42.72854152 43.24016216 95.87767713 40.65822573 47.35153991 53.07132767 29.15761258 39.53944336 20.98696297 41.85242364 33.21887312 26.89535933 49.17912333 56.44418759 62.34222216 61.57124347 57.02604326 53.72879742 49.82300408 46.57941138 26.61610469 45.13855449 42.699351 48.50707623 40.97346076 36.82552867 32.56295261 52.88626404 40.42999741 52.36964485 58.39775421 35.33922803
10 8.396336429 33.104161 27.39692261 39.3668699 46.85354758 22.8704588 67.89627009 15.89109349 45.09142114 0 37.38841059 38.42041556 23.01081301 52.42065805 13.47363214 14.39881536 15.03844626 42.97824597 56.18368672 53.59362535 51.01657665 43.87735368 19.11659261 31.75948558 19.26533292 22.16140316 20.5900202 12.90185527 57.44432059 18.20341096 24.33547444 20.63782899 17.74303866 20.50251487 23.58925735 13.17785319 15.70072944 18.23325331 62.18363351 6.674126807 19.3420801 24.81889536 32.57196568 14.70443967 49.9835349 20.27724998 30.73179823 37.75036632 20.1320129 27.94170179 33.85033859 33.08053182 28.52901194 25.17356788 22.39426914 8.643996529 40.29620405 19.99179396 19.05027398 14.61326537 6.849991096 52.37661076 48.70982302 24.48855978 55.79474128 23.758913 24.03445295 51.79539545
11 26.75780425 53.69031078 19.61008653 20.85164485 26.62479492 43.46146908 84.70032505 43.14997444 24.3823061 37.38841059 0 2.038411769 43.02474684 20.72484511 34.43660025 33.35036995 34.19473295 26.11830011 24.24690283 21.6892815 18.97739417 24.30077832 46.42573027 52.34448023 26.92786477 42.10738518 42.02773419 32.66054451 35.46062357 45.26644036 45.19363977 40.78530586 35.45036036 39.65298204 42.25251848 37.72501586 34.80155708 35.21993276 88.22148281 32.95776602 39.45354059 45.16006319 22.65349724 31.83699167 30.67510318 34.23665909 26.44754446 13.72476833 41.29291348 48.54104022 54.43873155 53.66771482 49.12271886 45.82737366 41.8824649 38.85258791 3.41715707 37.14817534 34.63156456 40.85629629 33.30433754 20.43317616 16.81572059 44.97985483 23.8015786 44.4701636 50.7208546 20.40924743
12 27.78742178 54.72458348 20.63408111 21.61603243 27.35547146 44.49574034 85.7275022 44.18213759 25.08793183 38.42041556 2.038411769 0 44.05922003 20.37324207 35.47045668 34.38471002 35.22945577 26.93072612 23.87178848 21.31627097 18.59378205 25.03050442 47.45722729 53.37875333 27.95655083 43.1418868 43.06171956 33.69477852 36.06984063 46.29827157 46.22780775 41.81972353 36.48570475 40.68776523 43.28751698 38.75714456 35.8361254 36.25554251 89.25288012 33.98977267 40.48777384 46.19442154 23.68564638 32.86926033 31.41282261 35.2681176 27.47439845 15.06441176 42.32699277 49.5753083 55.47300348 54.70198716 50.15698883 46.86162272 42.91714551 39.88487444 4.472630012 38.18350394 35.66776973 41.88768864 34.33597188 20.04517866 16.40784011 46.0141593 23.4217442 45.50439111 51.75250433 20.09137514
13 17.83688054 22.4215262 33.39641199 45.27437848 52.71673233 12.18940909 77.52070344 27.05406361 50.94633758 23.01081301 43.02474684 44.05922003 0 58.08689162 15.00445237 16.43334311 11.20007066 48.92344467 61.8432575 59.25424158 56.67315381 49.75935638 32.50391496 21.06820004 26.25618714 7.917857325 15.45189722 14.20560609 63.28004977 30.17751989 16.83681482 8.616071243 16.04870934 14.12545151 18.45935503 23.9726632 15.52348912 17.91557153 74.26825933 19.33572122 18.67502379 12.20491244 38.47883392 22.01036237 55.87161927 27.75586959 36.79198544 43.41910503 13.13949957 17.35908948 23.18445733 22.4056263 17.90307348 15.02429022 11.46469325 23.69707724 45.94400565 21.06580776 19.96820878 28.27522964 20.57225513 58.03782914 54.38331919 13.20186046 61.45266092 14.22331642 36.12765793 57.47058816
