ala_search_term,common_name,assess,vic_taxon_id,taxon_concept_id,delwp_taxon,delwp_common_name,taxon_level,sort,split,category,group,nc_raw_ala,Ne_adjust,DBSCAN_MinPts,n_raw_vic,pc_raw_vic,n_filtered,pc_recs_filt,n_filt_vic,pc_filt_vic,n_states,n_ibra7,n_nrm2017,n_subsp,n_sci_nm,cons_status,total_aust_popn_size,australia_distrib,popn_separation,vic_popn_trend,dispersal_capacity,dispersing_sex,fire_survival,fire_rating,male_disp,fem_disp,epsilon, vic_popn_size ,disperse_model,resist_model_type,guild,sub_guild,dispersal_conf,dispersal_method,reproduce_mode,ave_gen_time,gen_time_group,hybrid_risk,r_or_k_strat,mtdna,micro_sats,snps,genetic_misc,allozyme,any_genetic_data,Gen_data_main,WoS_hits_July19,popn_structure,inbreed_evidence,genetic_diversity,reduced_ne,data_quality_issues,genetic_data_utility,locally_adapted,rescue_potential,re_establish_potential,future_impacts,provenance_potential,diversity_potential,outbreed_risk,gen_data_priority,case_study,alt_latin_names,victorian_sub-species,other_alt_common,delwp_alt_common,attrib_data,assessed_1,maturity,longevity,fire,soil_seed,pollen_disp,w_logged,Woody,seeds_disp,useful_gen_data,vic_presence,vic_adv_status,epbc,ffg_act,class,superorder,order,family
Crinia parinsignifera,Eastern Sign-bearing Froglet,ALA,13131,urn:lsid:biodiversity.org.au:afd.taxon:eb28b5f7-89b6-48d1-a9b1-02287fa9fc65,Crinia parinsignifera,Eastern Sign-bearing Froglet,Base,1,Herps,Anurans,Ground frogs,15578,0.1,3,4746,30.5%,9645,61.9%,1996,20.70%,5,20,29,0,1,OKAY,"> 10,000",Widespread,Recent,down,Very Low,Both,,5,1,1,2.0,77276,Habitat,Generic,No guild,,,Land,Sexual,Annual,brief,,r,No,No,No,None,No,No,,0,,,,,,,Unknown,Redundant,Uncertain,Multiple,Uncertain,No,Not Expected,Low,,"Ranidella parinsignifera
",,Plains Froglet,,,,,,,,,,,,,,,,,,,,
Crinia signifera,Common Froglet,ALA,13134,urn:lsid:biodiversity.org.au:afd.taxon:88a99f63-a236-45ec-a408-d93a0b46a980,Crinia signifera,Common Froglet,Base,2,Herps,Anurans,Ground frogs,96340,0.1,3,28188,29.3%,55225,57.3%,14829,26.85%,7,35,39,0,1,OKAY,"> 10,000",Widespread,Historical,okay,Very Low,Both,,5,1,1,2.0,462784,Habitat,Generic,No guild,,,Land,Sexual,Annual,brief,,r,Yes,No,No,None,No,Yes,Phylogeny,4,,,,,,,Unknown,Redundant,Not likely,Not expected,No,No,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Crinia sloanei,Sloane's Froglet,ALA,13135,urn:lsid:biodiversity.org.au:afd.taxon:bed75f70-e287-4fc2-a19b-836012c4d910,Crinia sloanei,Sloane's Froglet,Base,3,Herps,Anurans,Ground frogs,1355,0.1,3,552,40.7%,220,16.2%,61,27.73%,2,7,9,0,1,OKAY,Unknown,Vic + 1 state,Recent,down,Very Low,Both,,5,1,1,2.0,8531,Habitat,Species,No guild,,Poor,Veg cover,Sexual,Annual,brief,,r,No,No,No,None,No,No,,0,,,,,,,Unknown,Uncertain,Uncertain,Multiple,No,Uncertain,Not Expected,Secondary,,,,,,,,,,,,,,,,,,,EN,,,,,
Geocrinia laevis,Southern Smooth Froglet,ALA,13029,urn:lsid:biodiversity.org.au:afd.taxon:13400964-8b24-4853-9f1d-9ca523831eec,Geocrinia laevis,Southern Smooth Froglet,Base,4,Herps,Anurans,Ground frogs,2610,0.1,3,2034,77.9%,926,35.5%,709,76.57%,3,17,11,0,1,OKAY,"> 10,000",Widespread,Both,okay,Minimal,Both,,5,0.4,0.4,0.8,29052,Habitat,Generic,No guild,,,Land,Sexual,2 - 5 yr,short,,r,No,No,No,Allozyme,Yes,Yes,Limited,7,Data def,Data def,Data def,Data def,,,Possible,Redundant,High,Habitat loss,Uncertain,Uncertain,Not Expected,Low,,,,,,,,,,,,,,,,,,,,,,,,
Geocrinia victoriana,Victorian Smooth Froglet,ALA,13033,urn:lsid:biodiversity.org.au:afd.taxon:f6ed68ff-acdf-415d-9ba6-a5636100cb85,Geocrinia victoriana,Victorian Smooth Froglet,Base,5,Herps,Anurans,Ground frogs,6596,0.1,3,6417,97.3%,2750,41.7%,2669,97.06%,2,12,13,0,1,OKAY,"> 10,000",Most in Vic,Both,okay,Minimal,Both,,5,0.4,0.4,0.8,90017,Habitat,Generic,No guild,,,Land,Sexual,2 - 5 yr,short,,r,No,No,No,Allozyme,Yes,Yes,Limited,6,Data def,Data def,Data def,Data def,,,Possible,Redundant,High,Habitat loss,Uncertain,Uncertain,Not Expected,Low,,,,,Eastern Smooth Frog,,,,,,,,,,,,,,,,,,,
Heleioporus australiacus,Giant Burrowing Frog,ALA,13042,urn:lsid:biodiversity.org.au:afd.taxon:20119b25-a27c-4174-b3e0-8639e8a21131,Heleioporus australiacus,Giant Burrowing Frog,Base,6,Herps,Anurans,Foam nesters,1511,0.1,3,134,8.9%,883,58.4%,49,5.55%,4,7,9,0,1,CR,2K to 10K,Vic + 1 state,Recent,rapid,Very Low,Both,,5,1,1,2.0,3253,Habitat,Species,No guild,,,Veg cover,Sexual,2 - 5 yr,short,,r,No,No,No,None,No,No,,0,,,,,,,Unknown,Uncertain,Uncertain,Multiple,Uncertain,Yes,Not Expected,Secondary,,,,,,,,,,,,,,,,,,CR,VU,Listed,,,,
Limnodynastes dumerilii,Southern Bullfrog,ALA,13058,urn:lsid:biodiversity.org.au:afd.taxon:2c50c2f6-7a0d-44e1-b549-458427b420c4,Limnodynastes dumerilii,Southern Bullfrog (ssp. unknown),Base,7,Herps,Anurans,Ground frogs,28159,0.1,3,13996,49.7%,15098,53.6%,6964,46.13%,6,31,36,5,6,OKAY,"> 10,000",Widespread,Both,okay,Very Low,Both,,5,1,1,2.0,210107,Habitat,Generic,No guild,,,Land,Sexual,2 - 5 yr,short,,r,Yes,No,No,None,No,Yes,Phylogeny,1,Data def,Data def,Data def,Data def,,,Possible,Redundant,High,Habitat loss,Yes,Uncertain,Low,Low,,,"dumerili, variegatus, insularis",,,,,,,,,,,,,,,,,,,,,
Limnodynastes dumerilii dumerilii,South-eastern Banjo Frog,ALA,63913,urn:lsid:biodiversity.org.au:afd.taxon:b703b216-95b6-4940-9971-b219f7f5e0d9,Limnodynastes dumerilii dumerilii,Pobblebonk Frog,Child,8,Herps,Anurans,Ground frogs,1930,0.1,3,1596,82.7%,999,51.8%,760,76.08%,4,21,28,0,1,OKAY,,,,,,Both,,5,1,1,2.0,22678,Habitat,Generic,No guild,,,Land,Sexual,2 - 5 yr,short,,r,Yes,No,No,None,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limnodynastes dumerilii insularis,Southern Banjo Frog,ALA,63914,urn:lsid:biodiversity.org.au:afd.taxon:e946c239-772a-4af4-b006-ad04aabb1f9e,Limnodynastes dumerilii insularis,Pobblebonk Frog,Child,9,Herps,Anurans,Ground frogs,1610,0.1,3,983,61.1%,804,49.9%,322,40.05%,3,18,12,0,1,OKAY,,,,,,Both,,5,1,1,2.0,14389,Habitat,Generic,No guild,,,Land,Sexual,2 - 5 yr,short,,r,Yes,No,No,None,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limnodynastes dumerilii variegatus,Variegated Banjo Frog,ALA,63915,urn:lsid:biodiversity.org.au:afd.taxon:a9f4fda1-c69b-4ff7-bce5-35b5a1aaeae7,Limnodynastes dumerilii variegatus,Pobblebonk Frog,Child,10,Herps,Anurans,Ground frogs,287,0.1,3,239,83.3%,132,46.0%,106,80.30%,3,8,10,0,1,OKAY,,,,,,Both,,5,1,1,2.0,3394,Habitat,Generic,No guild,,,Land,Sexual,2 - 5 yr,short,,r,Yes,No,No,None,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limnodynastes fletcheri,Barking Marsh Frog,ALA,13059,urn:lsid:biodiversity.org.au:afd.taxon:89785c3b-e078-49d3-91b6-5ea1a7cd20b7,Limnodynastes fletcheri,Barking Marsh Frog,Base,11,Herps,Anurans,Ground frogs,5279,0.1,3,649,12.3%,2509,47.5%,244,9.73%,4,20,26,0,1,OKAY,"> 10,000",Minor in Vic,Both,okay,Very Low,Both,,5,1,1,2.0,13716,Habitat,Generic,No guild,,,Land,Sexual,2 - 5 yr,short,,r,Yes,No,No,None,No,Yes,Phylogeny,1,Data def,Data def,Data def,Data def,,,Possible,Redundant,Medium,Habitat loss,Yes,Uncertain,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,
Limnodynastes interioris,Giant Bullfrog,ALA,13060,urn:lsid:biodiversity.org.au:afd.taxon:880ef4e5-2e95-4ccb-b0ea-3c35382e28ff,Limnodynastes interioris,Giant Bullfrog,Base,12,Herps,Anurans,Ground frogs,1178,0.1,3,60,5.1%,576,48.9%,12,2.08%,2,9,12,0,1,CR,"> 10,000",Minor in Vic,Both,down,Very Low,Both,,5,1,1,2.0,1958,Habitat,Species,No guild,,,Land,Sexual,2 - 5 yr,short,,r,Yes,No,No,None,No,Yes,Phylogeny,1,Data def,Data def,Data def,Data def,,,Possible,Uncertain,Medium,Habitat loss,Uncertain,Uncertain,Not Expected,Medium,,,,,,,,,,,,,,,,,,CR,,Listed,,,,
Limnodynastes peronii,Striped Marsh Frog,ALA,13061,urn:lsid:biodiversity.org.au:afd.taxon:475b04bd-e644-41ab-947a-02884d11aab4,Limnodynastes peronii,Striped Marsh Frog,Base,13,Herps,Anurans,Ground frogs,44180,0.1,3,4110,9.3%,25586,57.9%,2467,9.64%,7,28,40,0,1,OKAY,"> 10,000",Widespread,Both,okay,Minimal,Both,,5,0.4,0.4,0.8,97610,Habitat,Generic,No guild,,,Land,Sexual,2 - 5 yr,short,,r,Yes,No,No,None,No,Yes,Phylogeny,5,Data def,Data def,Data def,Data def,,,Yes,Redundant,High,Not expected,Yes,Uncertain,Low,Low,,"Limnodynastes lineatus, Cystignathus peronii, Limnodynastes krefftii ",,,,,,,,,,,,,,,,,,,,,,
